,Smiles,Property,Value,Units
487,CCCOC=C,Density,0.94 - 1.00,g mL-1
488,CCCOC=C,Preferred Density,0.94,g mL-1
489,CCCOC=C,Calculated Density,0.93 - 0.95,g mL-1
490,CCCOC=C,Preferred Calculated Density,0.94,g mL-1
491,CC(C)(c1ccc(cc1)OCC2CO2)c3ccc(cc3)OCC4CO4,Density,1.16 - 1.18,g mL-1
492,CC(C)(c1ccc(cc1)OCC2CO2)c3ccc(cc3)OCC4CO4,Preferred Density,1.17,g mL-1
493,CC(C)(c1ccc(cc1)OCC2CO2)c3ccc(cc3)OCC4CO4,Calculated Density,1.12 - 1.14,g mL-1
494,CC(C)(c1ccc(cc1)OCC2CO2)c3ccc(cc3)OCC4CO4,Preferred Calculated Density,1.13,g mL-1
495,O=C1CCCCCN1,Density,1.08,g mL-1
496,O=C1CCCCCN1,Calculated Density,1.06 - 1.08,g mL-1
497,O=C1CCCCCN1,Preferred Calculated Density,1.07,g mL-1
498,C=C,Density,0.92,g mL-1
499,C=C,Density,0.95,g mL-1
500,C=C,Density,0.85 - 0.86,g mL-1
501,C=C,Preferred Density,0.85,g mL-1
502,C=C,Calculated Density,0.85 - 0.90,g mL-1
503,C=C,Preferred Calculated Density,0.87,g mL-1
504,C=CC#N,Density,1.18,g mL-1
505,C=CC#N,Calculated Density,1.10 - 1.17,g mL-1
506,C=CC#N,Preferred Calculated Density,1.17,g mL-1
507,CCOC(=O)/C=C/C(=O)OCC,Density,1.18,g mL-1
508,CCOC(=O)/C=C/C(=O)OCC,Calculated Density,1.21 - 1.26,g mL-1
509,CCOC(=O)/C=C/C(=O)OCC,Preferred Calculated Density,1.23,g mL-1
510,CCCCCCOC(=O)CC(=C)C(=O)OCCCCCC,Calculated Density,1.04 - 1.06,g mL-1
511,CCCCCCOC(=O)CC(=C)C(=O)OCCCCCC,Preferred Calculated Density,1.05,g mL-1
512,C=Cc1ccccc1Cl,Density,1.22,g mL-1
513,C=Cc1ccccc1Cl,Calculated Density,1.19 - 1.25,g mL-1
514,C=Cc1ccccc1Cl,Preferred Calculated Density,1.22,g mL-1
515,NCCCCCCCCCCC(=O)O,Density,1.01 - 1.03,g mL-1
516,NCCCCCCCCCCC(=O)O,Preferred Density,1.02,g mL-1
517,NCCCCCCCCCCC(=O)O,Calculated Density,0.97 - 1.00,g mL-1
518,NCCCCCCCCCCC(=O)O,Preferred Calculated Density,0.98,g mL-1
519,CC(=C)C(=O)OC1CCC(CC1)C(C)(C)C,Density,0.99,g mL-1
520,CC(=C)C(=O)OC1CCC(CC1)C(C)(C)C,Calculated Density,1.02 - 1.05,g mL-1
521,CC(=C)C(=O)OC1CCC(CC1)C(C)(C)C,Preferred Calculated Density,1.03,g mL-1
522,CCCCOC(=O)C(=C)C,Density,1.05 - 1.06,g mL-1
523,CCCCOC(=O)C(=C)C,Preferred Density,1.05,g mL-1
524,CCCCOC(=O)C(=C)C,Calculated Density,1.05 - 1.07,g mL-1
525,CCCCOC(=O)C(=C)C,Preferred Calculated Density,1.06,g mL-1
526,Oc1ccc(cc1)c1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,Density,1.29,g mL-1
527,Oc1ccc(cc1)c1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,Calculated Density,1.26 - 1.29,g mL-1
528,Oc1ccc(cc1)c1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,Preferred Calculated Density,1.28,g mL-1
529,C=CSc1ccccc1,Density,1.15,g mL-1
530,C=CSc1ccccc1,Preferred Density,1.15,g mL-1
531,C=CSc1ccccc1,Calculated Density,1.16 - 1.20,g mL-1
532,C=CSc1ccccc1,Preferred Calculated Density,1.16,g mL-1
533,C=Cc1ccccc1C,Density,1.03,g mL-1
534,C=Cc1ccccc1C,Preferred Density,1.03,g mL-1
535,C=Cc1ccccc1C,Calculated Density,0.97 - 1.03,g mL-1
536,C=Cc1ccccc1C,Preferred Calculated Density,1.01,g mL-1
537,CCCSC=C,Density,1.021,g mL-1
538,CCCSC=C,Calculated Density,1.02 - 1.03,g mL-1
539,CCCSC=C,Preferred Calculated Density,1.02,g mL-1
540,O=C(C(=C)C)OC1CCCCC1,Density,1.1,g mL-1
541,O=C(C(=C)C)OC1CCCCC1,Preferred Density,1.1,g mL-1
542,O=C(C(=C)C)OC1CCCCC1,Calculated Density,1.11,g mL-1
543,O=C(C(=C)C)OC1CCCCC1,Preferred Calculated Density,1.11,g mL-1
544,OC(=O)CCCCCCCCC(=O)O.OCCCCCCO,Density,1.03,g mL-1
545,OC(=O)CCCCCCCCC(=O)O.OCCCCCCO,Calculated Density,1.05 - 1.07,g mL-1
546,OC(=O)CCCCCCCCC(=O)O.OCCCCCCO,Preferred Calculated Density,1.06,g mL-1
547,C1CCCO1,Density,0.97 - 0.98,g mL-1
548,C1CCCO1,Preferred Density,0.98,g mL-1
549,C1CCCO1,Calculated Density,0.96 - 1.05,g mL-1
